Time,Dimensions
0.162464,1024
0.156442,1023
0.158867,1022
0.127103,1021
0.204144,1020
0.231938,1019
0.141356,1018
0.176279,1017
0.150615,1016
0.281837,1015
0.129030,1014
0.195379,1013
0.138110,1012
0.112039,1011
0.176940,1010
0.180857,1009
0.146250,1008
0.142553,1007
0.202788,1006
0.154607,1005
0.146911,1004
0.146177,1003
0.165904,1002
0.155125,1001
0.149361,1000
0.129500,999
0.117863,998
0.167870,997
0.151228,996
0.152965,995
0.149591,994
0.158143,993
0.145380,992
0.131109,991
0.159165,990
0.151470,989
0.170417,988
0.133073,987
0.131300,986
0.182600,985
0.115601,984
0.131135,983
0.145491,982
0.165473,981
0.147633,980
0.174967,979
0.153620,978
0.127052,977
0.299637,976
0.122506,975
0.108858,974
0.147259,973
0.164410,972
0.118190,971
0.148676,970
0.141464,969
0.149908,968
0.131536,967
0.127775,966
0.118622,965
0.155561,964
0.145601,963
0.127602,962
0.149367,961
0.115504,960
0.118151,959
0.134011,958
0.139786,957
0.155394,956
0.102924,955
0.125944,954
0.114564,953
0.324776,952
0.146410,951
0.105038,950
0.139068,949
0.107003,948
0.140075,947
0.105628,946
0.127896,945
0.159121,944
0.125574,943
0.241519,942
0.230447,941
0.196843,940
0.201398,939
0.141814,938
0.221914,937
0.168468,936
0.209022,935
0.121550,934
0.175765,933
0.173983,932
0.106950,931
0.166193,930
0.184046,929
0.258063,928
0.257897,927
0.192753,926
0.179712,925
0.205070,924
0.123636,923
0.114901,922
0.134804,921
0.140934,920
0.296009,919
0.186289,918
0.158622,917
0.151383,916
0.171035,915
0.107891,914
0.126029,913
0.105310,912
0.113664,911
0.134901,910
0.129491,909
0.219594,908
0.157893,907
0.168573,906
0.123967,905
0.133561,904
0.116048,903
0.105849,902
0.120615,901
0.091602,900
0.137731,899
0.360638,898
0.161056,897
0.133854,896
0.107136,895
0.133960,894
0.096045,893
0.101149,892
0.108203,891
0.138804,890
0.101985,889
0.125861,888
0.103787,887
0.097770,886
0.104159,885
0.125940,884
0.103950,883
0.127484,882
0.103542,881
0.097288,880
0.119171,879
0.109927,878
0.160009,877
0.095901,876
0.088398,875
0.088960,874
0.146840,873
0.100154,872
0.103770,871
0.109228,870
0.117700,869
0.122737,868
0.152295,867
0.086478,866
0.108281,865
0.148797,864
0.099702,863
0.084768,862
0.139388,861
0.115996,860
0.100753,859
0.092153,858
0.156867,857
0.122915,856
0.132256,855
0.097262,854
0.112530,853
0.143538,852
0.135374,851
0.103281,850
0.113425,849
0.099491,848
0.097217,847
0.090228,846
0.112124,845
0.094130,844
0.137178,843
0.105336,842
0.124195,841
0.089248,840
0.267078,839
0.109045,838
0.094921,837
0.088691,836
0.097498,835
0.159510,834
0.079791,833
0.143498,832
0.105948,831
0.086562,830
0.118120,829
0.080125,828
0.078636,827
0.082163,826
0.105573,825
0.087712,824
0.097276,823
0.095524,822
0.106711,821
0.086985,820
0.112935,819
0.091254,818
0.095070,817
0.078262,816
0.106490,815
0.085037,814
0.098358,813
0.102690,812
0.133348,811
0.125728,810
0.097895,809
0.082947,808
0.112110,807
0.079310,806
0.100360,805
0.137076,804
0.093077,803
0.160410,802
0.084393,801
0.076773,800
0.087931,799
0.079875,798
0.098430,797
0.077742,796
0.108060,795
0.108234,794
0.106623,793
0.084665,792
0.088104,791
0.121869,790
0.255015,789
0.075685,788
0.080318,787
0.108357,786
0.096708,785
0.084820,784
0.108677,783
0.092313,782
0.098044,781
0.097127,780
0.084677,779
0.079070,778
0.106651,777
0.081212,776
0.107153,775
0.073238,774
0.080265,773
0.065258,772
0.109627,771
0.110185,770
0.097197,769
0.085708,768
0.118592,767
0.090741,766
0.080352,765
0.059971,764
0.074696,763
0.093061,762
0.070127,761
0.099217,760
0.107843,759
0.075643,758
0.075848,757
0.076627,756
0.084994,755
0.105762,754
0.083379,753
0.096393,752
0.089046,751
0.096179,750
0.103313,749
0.086892,748
0.063621,747
0.079450,746
0.082022,745
0.090842,744
0.067590,743
0.060315,742
0.078941,741
0.081750,740
0.080893,739
0.093119,738
0.111929,737
0.112272,736
0.055216,735
0.081038,734
0.073096,733
0.066270,732
0.076156,731
0.077200,730
0.206264,729
0.098134,728
0.074502,727
0.080079,726
0.066716,725
0.078671,724
0.061703,723
0.078881,722
0.082627,721
0.067717,720
0.124017,719
0.107215,718
0.111788,717
0.069261,716
0.080187,715
0.073546,714
0.091705,713
0.083403,712
0.051693,711
0.083167,710
0.080849,709
0.059894,708
0.076247,707
0.067840,706
0.064346,705
0.068831,704
0.048442,703
0.055432,702
0.165703,701
0.126521,700
0.082343,699
0.220970,698
0.073057,697
0.408956,696
0.148049,695
0.072954,694
0.064059,693
0.094756,692
0.073032,691
0.056184,690
0.099863,689
0.067841,688
0.071553,687
0.067849,686
0.072731,685
0.116762,684
0.058056,683
0.068848,682
0.092013,681
0.114108,680
0.084108,679
0.082430,678
0.120219,677
0.078570,676
0.481123,675
0.075363,674
0.070002,673
0.063902,672
0.113205,671
0.097815,670
0.055885,669
0.047611,668
0.045783,667
0.058834,666
0.078006,665
0.104326,664
0.084761,663
0.040475,662
0.047476,661
0.077467,660
0.074209,659
0.058479,658
0.065471,657
0.064016,656
0.070991,655
0.061596,654
0.050608,653
0.064001,652
0.056087,651
0.038773,650
0.078280,649
0.079138,648
0.040487,647
0.093922,646
0.058398,645
0.068026,644
0.052911,643
0.066946,642
0.066733,641
0.050796,640
0.082596,639
0.066357,638
0.067110,637
0.106302,636
0.058162,635
0.040423,634
0.086551,633
0.058964,632
0.056420,631
0.052917,630
0.064292,629
0.074028,628
0.087612,627
0.051567,626
0.045587,625
0.036478,624
0.063696,623
0.058663,622
0.070622,621
0.059656,620
0.087190,619
0.074720,618
0.041546,617
0.066321,616
0.043554,615
0.048645,614
0.070932,613
0.089970,612
0.046782,611
0.067589,610
0.050171,609
0.046846,608
0.216654,607
0.102542,606
0.081242,605
0.052533,604
0.045578,603
0.049116,602
0.065414,601
0.054614,600
0.056552,599
0.060186,598
0.049053,597
0.067583,596
0.055255,595
0.032616,594
0.059366,593
0.050525,592
0.058989,591
0.083673,590
0.061387,589
0.031700,588
0.045460,587
0.061879,586
0.081186,585
0.058995,584
0.035760,583
0.037478,582
0.035527,581
0.066200,580
0.053798,579
0.036098,578
0.032832,577
0.058967,576
0.055306,575
0.035899,574
0.041796,573
0.037569,572
0.064162,571
0.050629,570
0.029894,569
0.051685,568
0.045452,567
0.061244,566
0.051550,565
0.029666,564
0.070451,563
0.046277,562
0.054582,561
0.071286,560
0.030965,559
0.057936,558
0.036571,557
0.053615,556
0.031841,555
0.090219,554
0.070079,553
0.065217,552
0.053338,551
0.029946,550
0.043783,549
0.029957,548
0.065223,547
0.030089,546
0.039652,545
0.056184,544
0.046426,543
0.027367,542
0.047957,541
0.036896,540
0.076471,539
0.077073,538
0.026388,537
0.051593,536
0.051077,535
0.042594,534
0.042290,533
0.053560,532
0.063607,531
0.028589,530
0.025783,529
0.031102,528
0.029650,527
0.067026,526
0.031975,525
0.032439,524
0.025182,523
0.069817,522
0.025031,521
0.042770,520
0.024883,519
0.043302,518
0.075659,517
0.024561,516
0.045558,515
0.025807,514
0.024262,513
