Time,Dimensions
0.088529,1024
0.055016,1025
0.049543,1026
0.060137,1027
0.066032,1028
0.052625,1029
0.053224,1030
0.053436,1031
0.049506,1032
0.053206,1033
0.051187,1034
0.132467,1035
0.109979,1036
0.126630,1037
0.131223,1038
0.130514,1039
0.130387,1040
0.129682,1041
0.114584,1042
0.142340,1043
0.129929,1044
0.130021,1045
0.134458,1046
0.130139,1047
0.128501,1048
0.132316,1049
0.130050,1050
0.132822,1051
0.125494,1052
0.135308,1053
0.125778,1054
0.130595,1055
0.146839,1056
0.062051,1057
0.050927,1058
0.050706,1059
0.050816,1060
0.051678,1061
0.050990,1062
0.052774,1063
0.052393,1064
0.054148,1065
0.053206,1066
0.049809,1067
0.049811,1068
0.049567,1069
0.050192,1070
0.052916,1071
0.053255,1072
0.052057,1073
0.055074,1074
0.052184,1075
0.052427,1076
0.053221,1077
0.052972,1078
0.053570,1079
0.055376,1080
0.054783,1081
0.054838,1082
0.051512,1083
0.052451,1084
0.051202,1085
0.051475,1086
0.143116,1087
0.140313,1088
0.141847,1089
0.140557,1090
0.055942,1091
0.058058,1092
0.055586,1093
0.055460,1094
0.059458,1095
0.054864,1096
0.056852,1097
0.055775,1098
0.056432,1099
0.053305,1100
0.056455,1101
0.053390,1102
0.055744,1103
0.057767,1104
0.056318,1105
0.056316,1106
0.058033,1107
0.058736,1108
0.058242,1109
0.055496,1110
0.059632,1111
0.059633,1112
0.058523,1113
0.062044,1114
0.054067,1115
0.054721,1116
0.054341,1117
0.054447,1118
0.058524,1119
0.057667,1120
0.150750,1121
0.149162,1122
0.150002,1123
0.150162,1124
0.149525,1125
0.150713,1126
0.151350,1127
0.152202,1128
0.350118,1129
0.152099,1130
0.150855,1131
0.150626,1132
0.151044,1133
0.151749,1134
0.152319,1135
0.059501,1136
0.059650,1137
0.060641,1138
0.063394,1139
0.061487,1140
0.060312,1141
0.059885,1142
0.060681,1143
0.060177,1144
0.060092,1145
0.060712,1146
0.060248,1147
0.060426,1148
0.061888,1149
0.062057,1150
0.060622,1151
0.060865,1152
0.061307,1153
0.061879,1154
0.061862,1155
0.065381,1156
0.063841,1157
0.062125,1158
0.064147,1159
0.062800,1160
0.064248,1161
0.063002,1162
0.063120,1163
0.060675,1164
0.059677,1165
0.060131,1166
0.071253,1167
0.067283,1168
0.066504,1169
0.070011,1170
0.064786,1171
0.062499,1172
0.067763,1173
0.063267,1174
0.063238,1175
0.067024,1176
0.063906,1177
0.064347,1178
0.062855,1179
0.061883,1180
0.061420,1181
0.062519,1182
0.065387,1183
0.065934,1184
0.064955,1185
0.065940,1186
0.066143,1187
0.063673,1188
0.064385,1189
0.071753,1190
0.071095,1191
0.070381,1192
0.071798,1193
0.072057,1194
0.062485,1195
0.062602,1196
0.062613,1197
0.065068,1198
0.069369,1199
0.067267,1200
0.067729,1201
0.067660,1202
0.066051,1203
0.071470,1204
0.066386,1205
0.066720,1206
0.065896,1207
0.068306,1208
0.067791,1209
0.071820,1210
0.066807,1211
0.065020,1212
0.065573,1213
0.065125,1214
0.068818,1215
0.175543,1216
0.175403,1217
0.176166,1218
0.661553,1219
0.176256,1220
0.176545,1221
0.176570,1222
0.183630,1223
0.185069,1224
0.186169,1225
0.186135,1226
0.176306,1227
0.176587,1228
0.176541,1229
0.176925,1230
0.180405,1231
0.180434,1232
0.179660,1233
0.180516,1234
0.182612,1235
0.185607,1236
0.182589,1237
0.183629,1238
0.187415,1239
0.186855,1240
0.184815,1241
0.074642,1242
0.067615,1243
0.068333,1244
0.069034,1245
0.070109,1246
0.077182,1247
0.078579,1248
0.078801,1249
0.079721,1250
0.071415,1251
0.072367,1252
0.071695,1253
0.073352,1254
0.076908,1255
0.080459,1256
0.083643,1257
0.076870,1258
0.070268,1259
0.070182,1260
0.074947,1261
0.070094,1262
0.076786,1263
0.078511,1264
0.076742,1265
0.077253,1266
0.074045,1267
0.073848,1268
0.073663,1269
0.076260,1270
0.074936,1271
0.073710,1272
0.193364,1273
0.189771,1274
0.239283,1275
0.197771,1276
0.199032,1277
0.199231,1278
0.194034,1279
0.246570,1280
0.195189,1281
0.196072,1282
0.196191,1283
0.195089,1284
0.194520,1285
0.076047,1286
0.082939,1287
0.080344,1288
0.075854,1289
0.077469,1290
0.073429,1291
0.075662,1292
0.075722,1293
0.074705,1294
0.077124,1295
0.078566,1296
0.081983,1297
0.080762,1298
0.087514,1299
0.084118,1300
0.081965,1301
0.089374,1302
0.080209,1303
0.083365,1304
0.086569,1305
0.087671,1306
0.076913,1307
0.075406,1308
0.079177,1309
0.076122,1310
0.089165,1311
0.092295,1312
0.088403,1313
0.089607,1314
0.081551,1315
0.079630,1316
0.084359,1317
0.079897,1318
0.081271,1319
0.080978,1320
0.080570,1321
0.081766,1322
0.077893,1323
0.205498,1324
0.206649,1325
0.394859,1326
0.216228,1327
0.090871,1328
0.086654,1329
0.087478,1330
0.085571,1331
0.082912,1332
0.082840,1333
0.085159,1334
0.086186,1335
0.084946,1336
0.087298,1337
0.089163,1338
0.081548,1339
0.081490,1340
0.082585,1341
0.087432,1342
0.085440,1343
0.085234,1344
0.085266,1345
0.086383,1346
0.083258,1347
0.084285,1348
0.086161,1349
0.084993,1350
0.086503,1351
0.085054,1352
0.084242,1353
0.088147,1354
0.084977,1355
0.080801,1356
0.080757,1357
0.080832,1358
0.095930,1359
0.096526,1360
0.233452,1361
0.231584,1362
0.228286,1363
0.227941,1364
0.978527,1365
0.228449,1366
0.223049,1367
0.220579,1368
0.094520,1369
0.088941,1370
0.082728,1371
0.082976,1372
0.087878,1373
0.083771,1374
0.090427,1375
0.088862,1376
0.091437,1377
0.091936,1378
0.089040,1379
0.088801,1380
0.087682,1381
0.087357,1382
0.087850,1383
0.090702,1384
0.092875,1385
0.093452,1386
0.085130,1387
0.086189,1388
0.085261,1389
0.227865,1390
0.235949,1391
0.238361,1392
0.236121,1393
0.239675,1394
0.232077,1395
0.446879,1396
0.232463,1397
0.231955,1398
0.089359,1399
0.232388,1400
0.232812,1401
0.232366,1402
0.234167,1403
0.234033,1404
0.306097,1405
0.089537,1406
0.091207,1407
0.092784,1408
0.090417,1409
0.091271,1410
0.091173,1411
0.091426,1412
0.092872,1413
0.093740,1414
0.092365,1415
0.093897,1416
0.094117,1417
0.104209,1418
0.092019,1419
0.088977,1420
0.094989,1421
0.089156,1422
0.095513,1423
0.093478,1424
0.092512,1425
0.094306,1426
0.099435,1427
0.098403,1428
0.099488,1429
0.099324,1430
0.105060,1431
0.101840,1432
0.106996,1433
0.101322,1434
0.091329,1435
0.090584,1436
0.090676,1437
0.090987,1438
0.098324,1439
0.095633,1440
0.096442,1441
0.094024,1442
0.093957,1443
0.095827,1444
0.095199,1445
0.094814,1446
0.098883,1447
0.095843,1448
0.097468,1449
0.098244,1450
0.092914,1451
0.093340,1452
0.093738,1453
0.093597,1454
0.098664,1455
0.098801,1456
0.101048,1457
0.101631,1458
0.108008,1459
0.107621,1460
0.106821,1461
0.105759,1462
0.099932,1463
0.099478,1464
0.100348,1465
0.099262,1466
0.098179,1467
0.099595,1468
0.099620,1469
0.099170,1470
0.105072,1471
0.106607,1472
0.104061,1473
0.104146,1474
0.107361,1475
0.107314,1476
0.112674,1477
0.107769,1478
0.100255,1479
0.104594,1480
0.104023,1481
0.104752,1482
0.098219,1483
0.099356,1484
0.098253,1485
0.098396,1486
0.103034,1487
0.105665,1488
0.105042,1489
0.109511,1490
0.118447,1491
0.108047,1492
0.108440,1493
0.271689,1494
0.266711,1495
0.266586,1496
1.129111,1497
0.266385,1498
0.262985,1499
0.264286,1500
0.265012,1501
0.266020,1502
0.268849,1503
0.270474,1504
0.270429,1505
0.270556,1506
0.271756,1507
0.274444,1508
0.272585,1509
0.271348,1510
0.104219,1511
0.109023,1512
0.109369,1513
0.108746,1514
0.101561,1515
0.269209,1516
0.269129,1517
0.251320,1518
0.272468,1519
0.274095,1520
0.274277,1521
0.276536,1522
0.273643,1523
0.634910,1524
0.274752,1525
0.274698,1526
0.281493,1527
0.283213,1528
0.281685,1529
0.295015,1530
0.118967,1531
0.117708,1532
0.120924,1533
0.118101,1534
0.115277,1535
