Time,Dimensions
0.000042,1024
0.000039,1025
0.000040,1026
0.000039,1027
0.000040,1028
0.000039,1029
0.000037,1030
0.000037,1031
0.000041,1032
0.000037,1033
0.000038,1034
0.000037,1035
0.000047,1036
0.000043,1037
0.000047,1038
0.000037,1039
0.000046,1040
0.000097,1041
0.000038,1042
0.000052,1043
0.000052,1044
0.000042,1045
0.000038,1046
0.000062,1047
0.000040,1048
0.000049,1049
0.000053,1050
0.000041,1051
0.000046,1052
0.000048,1053
0.000048,1054
0.000048,1055
0.000050,1056
0.000048,1057
0.000047,1058
0.000059,1059
0.000041,1060
0.000049,1061
0.000043,1062
0.000044,1063
0.000040,1064
0.000044,1065
0.000040,1066
0.000039,1067
0.000044,1068
0.000060,1069
0.000047,1070
0.000065,1071
0.000102,1072
0.000043,1073
0.000049,1074
0.000041,1075
0.000041,1076
0.000041,1077
0.000045,1078
0.000049,1079
0.000040,1080
0.000041,1081
0.000048,1082
0.000045,1083
0.000059,1084
0.000052,1085
0.000040,1086
0.000048,1087
0.000041,1088
0.000041,1089
0.000040,1090
0.000040,1091
0.000047,1092
0.000051,1093
0.000055,1094
0.000086,1095
0.000040,1096
0.000040,1097
0.000041,1098
0.000041,1099
0.000039,1100
0.000039,1101
0.000040,1102
0.000040,1103
0.000041,1104
0.000042,1105
0.000041,1106
0.000040,1107
0.000040,1108
0.000050,1109
0.000039,1110
0.000045,1111
0.000048,1112
0.000048,1113
0.000062,1114
0.000057,1115
0.000049,1116
0.000061,1117
0.000079,1118
0.000427,1119
0.000049,1120
0.000053,1121
0.000043,1122
0.000048,1123
0.000053,1124
0.000041,1125
0.000050,1126
0.000046,1127
0.000041,1128
0.000047,1129
0.000049,1130
0.000048,1131
0.000048,1132
0.000048,1133
0.000048,1134
0.000048,1135
0.000040,1136
0.000051,1137
0.000043,1138
0.000040,1139
0.000043,1140
0.000046,1141
0.000051,1142
0.000054,1143
0.000040,1144
0.000041,1145
0.000039,1146
0.000040,1147
0.000041,1148
0.000040,1149
0.000039,1150
0.000042,1151
0.000039,1152
0.000048,1153
0.000039,1154
0.000038,1155
0.000040,1156
0.000040,1157
0.000039,1158
0.000040,1159
0.000040,1160
0.000041,1161
0.000052,1162
0.000057,1163
0.000050,1164
0.000049,1165
0.000049,1166
0.000049,1167
0.000047,1168
0.000045,1169
0.000048,1170
0.000049,1171
0.000049,1172
0.000048,1173
0.000047,1174
0.000048,1175
0.000048,1176
0.000048,1177
0.000040,1178
0.000049,1179
0.000048,1180
0.000049,1181
0.000056,1182
0.000048,1183
0.000048,1184
0.000051,1185
0.000041,1186
0.000041,1187
0.000040,1188
0.000040,1189
0.000039,1190
0.000040,1191
0.000041,1192
0.000045,1193
0.000048,1194
0.000048,1195
0.000048,1196
0.000048,1197
0.000047,1198
0.000048,1199
0.000049,1200
0.000053,1201
0.000050,1202
0.000047,1203
0.000048,1204
0.000048,1205
0.000051,1206
0.000048,1207
0.000074,1208
0.000043,1209
0.000050,1210
0.000090,1211
0.000049,1212
0.000040,1213
0.000049,1214
0.000072,1215
0.000057,1216
0.000057,1217
0.000048,1218
0.000048,1219
0.000064,1220
0.000049,1221
0.000298,1222
0.000040,1223
0.000048,1224
0.000048,1225
0.000040,1226
0.000041,1227
0.000043,1228
0.000048,1229
0.000049,1230
0.000040,1231
0.000048,1232
0.000048,1233
0.000048,1234
0.000049,1235
0.000048,1236
0.000115,1237
0.000040,1238
0.000040,1239
0.000048,1240
0.000049,1241
0.000048,1242
0.000050,1243
0.000048,1244
0.000041,1245
0.000041,1246
0.000039,1247
0.000040,1248
0.000041,1249
0.000041,1250
0.000041,1251
0.000049,1252
0.000048,1253
0.000057,1254
0.000043,1255
0.000154,1256
0.000048,1257
0.000058,1258
0.000048,1259
0.000048,1260
0.000040,1261
0.000045,1262
0.000054,1263
0.000040,1264
0.000040,1265
0.000040,1266
0.000048,1267
0.000043,1268
0.000041,1269
0.000048,1270
0.000049,1271
0.000054,1272
0.000048,1273
0.000048,1274
0.000042,1275
0.000049,1276
0.000049,1277
0.000049,1278
0.000049,1279
0.000048,1280
0.000048,1281
0.000048,1282
0.000048,1283
0.000048,1284
0.000048,1285
0.000047,1286
0.000047,1287
0.000048,1288
0.000040,1289
0.000049,1290
0.000039,1291
0.000040,1292
0.000040,1293
0.000040,1294
0.000042,1295
0.000062,1296
0.000040,1297
0.000040,1298
0.000043,1299
0.000053,1300
0.000049,1301
0.000048,1302
0.000049,1303
0.000048,1304
0.000048,1305
0.000047,1306
0.000044,1307
0.000043,1308
0.000041,1309
0.000087,1310
0.000046,1311
0.000049,1312
0.000048,1313
0.000047,1314
0.000061,1315
0.000048,1316
0.000047,1317
0.000042,1318
0.000041,1319
0.000047,1320
0.000056,1321
0.000041,1322
0.000040,1323
0.000041,1324
0.000038,1325
0.000040,1326
0.000041,1327
0.000038,1328
0.000039,1329
0.000040,1330
0.000051,1331
0.000050,1332
0.000052,1333
0.000055,1334
0.000043,1335
0.000043,1336
0.000054,1337
0.000055,1338
0.000040,1339
0.000094,1340
0.000040,1341
0.000041,1342
0.000043,1343
0.000052,1344
0.000161,1345
0.000053,1346
0.000047,1347
0.000056,1348
0.000054,1349
0.000053,1350
0.000054,1351
0.000067,1352
0.000040,1353
0.000053,1354
0.000050,1355
0.000047,1356
0.000092,1357
0.000054,1358
0.000041,1359
0.000052,1360
0.000041,1361
0.000048,1362
0.000048,1363
0.000048,1364
0.000049,1365
0.000048,1366
0.000048,1367
0.000048,1368
0.000040,1369
0.000039,1370
0.000054,1371
0.000063,1372
0.000050,1373
0.000048,1374
0.000048,1375
0.000047,1376
0.000040,1377
0.000040,1378
0.000038,1379
0.000055,1380
0.000048,1381
0.000047,1382
