Time,Dimensions
0.702275,2048
0.390295,2047
0.523578,2046
1.517498,2045
0.808443,2044
0.886245,2043
1.024068,2042
0.341685,2041
0.443330,2040
0.417445,2039
0.460774,2038
0.486213,2037
0.837481,2036
0.442489,2035
0.844368,2034
0.452492,2033
0.456453,2032
0.513251,2031
0.500153,2030
1.246477,2029
1.236441,2028
0.807514,2027
0.908082,2026
1.166253,2025
0.505939,2024
0.457936,2023
0.347625,2022
0.456698,2021
0.341110,2020
0.416684,2019
0.518021,2018
0.382255,2017
0.416301,2016
0.430426,2015
0.779225,2014
0.530179,2013
0.506856,2012
0.383661,2011
1.200316,2010
0.466184,2009
1.054979,2008
0.419427,2007
0.863935,2006
0.521756,2005
0.693597,2004
0.728163,2003
0.315507,2002
0.489024,2001
0.409358,2000
0.499332,1999
0.300825,1998
0.342690,1997
0.368991,1996
0.323657,1995
0.411154,1994
0.472093,1993
0.520282,1992
0.589282,1991
0.772940,1990
0.545528,1989
0.850437,1988
0.658010,1987
0.549980,1986
0.666523,1985
0.708822,1984
0.971587,1983
0.584006,1982
0.503257,1981
0.441447,1980
0.606666,1979
0.607720,1978
2.203508,1977
1.879464,1976
0.745632,1975
0.946532,1974
0.427530,1973
2.072106,1972
0.446348,1971
0.447370,1970
0.366388,1969
0.287093,1968
0.419487,1967
0.308132,1966
0.403472,1965
0.501542,1964
0.502181,1963
0.528548,1962
0.587702,1961
0.584362,1960
0.431159,1959
0.429633,1958
0.387317,1957
0.444140,1956
0.828703,1955
0.355177,1954
0.737627,1953
0.369127,1952
0.403009,1951
0.317128,1950
0.356435,1949
0.430044,1948
0.364026,1947
0.515650,1946
0.323964,1945
0.486924,1944
0.392068,1943
0.416656,1942
0.336187,1941
0.330842,1940
0.406734,1939
0.323568,1938
0.458215,1937
0.411390,1936
0.359463,1935
0.406325,1934
0.327600,1933
0.390738,1932
0.481734,1931
0.504736,1930
0.375858,1929
0.410721,1928
0.419069,1927
0.411340,1926
0.364206,1925
0.325340,1924
0.792186,1923
0.370329,1922
0.340265,1921
0.618549,1920
0.392919,1919
0.424760,1918
0.589726,1917
0.443016,1916
0.364077,1915
0.674527,1914
0.450882,1913
0.287552,1912
0.628361,1911
0.332102,1910
0.495043,1909
0.421491,1908
0.289580,1907
0.411609,1906
0.277916,1905
0.337210,1904
0.382217,1903
0.311419,1902
0.377959,1901
0.351700,1900
0.433925,1899
0.271389,1898
0.354071,1897
0.326494,1896
0.323826,1895
0.329999,1894
0.268492,1893
0.851105,1892
0.520216,1891
0.409095,1890
0.343325,1889
0.308659,1888
0.278018,1887
0.477350,1886
0.274539,1885
0.358520,1884
0.307189,1883
0.631390,1882
0.330488,1881
0.367946,1880
0.525835,1879
0.340424,1878
0.319826,1877
0.842838,1876
0.305733,1875
0.266991,1874
0.262837,1873
0.427106,1872
0.356565,1871
0.330888,1870
0.305712,1869
0.284100,1868
0.385463,1867
0.292456,1866
0.314910,1865
0.330729,1864
0.358869,1863
0.342808,1862
0.365775,1861
0.266671,1860
0.347929,1859
0.350627,1858
0.352975,1857
0.334128,1856
0.339792,1855
0.591459,1854
0.289041,1853
0.325907,1852
0.277888,1851
0.434749,1850
0.390871,1849
0.373823,1848
0.254217,1847
0.327678,1846
0.378841,1845
0.278930,1844
0.452460,1843
0.686174,1842
0.533498,1841
0.414991,1840
0.399955,1839
0.439417,1838
0.497416,1837
1.010102,1836
0.388807,1835
0.434124,1834
0.733224,1833
0.272856,1832
0.286088,1831
0.289411,1830
0.485008,1829
0.431524,1828
0.489390,1827
0.581046,1826
0.500939,1825
0.581307,1824
0.701650,1823
0.453725,1822
