Time,Dimensions
0.000107,1024
0.000118,1025
0.000118,1026
0.000132,1027
0.000111,1028
0.000122,1029
0.000178,1030
0.000175,1031
0.000135,1032
0.000151,1033
0.000144,1034
0.000148,1035
0.000152,1036
0.000127,1037
0.000122,1038
0.000127,1039
0.000108,1040
0.000137,1041
0.000118,1042
0.000123,1043
0.000111,1044
0.000139,1045
0.000148,1046
0.000151,1047
0.000144,1048
0.000208,1049
0.000138,1050
0.000156,1051
0.000115,1052
0.000120,1053
0.000115,1054
0.000161,1055
0.000140,1056
0.000157,1057
0.000153,1058
0.000187,1059
0.000111,1060
0.000122,1061
0.000203,1062
0.000130,1063
0.000110,1064
0.000128,1065
0.000116,1066
0.000134,1067
0.000116,1068
0.000156,1069
0.000150,1070
0.000161,1071
0.000105,1072
0.000146,1073
0.000120,1074
0.000173,1075
0.000117,1076
0.000118,1077
0.000159,1078
0.000130,1079
0.000129,1080
0.000140,1081
0.000128,1082
0.000135,1083
0.000121,1084
0.000128,1085
0.000145,1086
0.000133,1087
0.000133,1088
0.000135,1089
0.000135,1090
0.000127,1091
0.000122,1092
0.000146,1093
0.000131,1094
0.000141,1095
0.000204,1096
0.000140,1097
0.000132,1098
0.000142,1099
0.000123,1100
0.000134,1101
0.000125,1102
0.000227,1103
0.000146,1104
0.000170,1105
0.000155,1106
0.000161,1107
0.000148,1108
0.000160,1109
0.000144,1110
0.000143,1111
0.000109,1112
0.000140,1113
0.000158,1114
0.000168,1115
0.000153,1116
0.000182,1117
0.000166,1118
0.000193,1119
0.000154,1120
0.000166,1121
0.000164,1122
0.000142,1123
0.000145,1124
0.000165,1125
0.000198,1126
0.000205,1127
0.000149,1128
0.000167,1129
0.000159,1130
0.000136,1131
0.000153,1132
0.000166,1133
0.000244,1134
0.000146,1135
0.000150,1136
0.000173,1137
0.000127,1138
0.000138,1139
0.000155,1140
0.000165,1141
0.000198,1142
0.000168,1143
0.000154,1144
0.000172,1145
0.000168,1146
0.000214,1147
