Time,Dimensions
0.509033,1024
0.578879,1025
0.789507,1026
0.596236,1027
0.409429,1028
0.411174,1029
0.502769,1030
0.453850,1031
0.375591,1032
0.768998,1033
0.573459,1034
0.602116,1035
0.379634,1036
0.392814,1037
0.535582,1038
0.428077,1039
0.414067,1040
0.439366,1041
0.505631,1042
0.450203,1043
0.609856,1044
0.446606,1045
0.370874,1046
0.514646,1047
0.429516,1048
0.563893,1049
0.410463,1050
0.468372,1051
0.593132,1052
0.469327,1053
0.424752,1054
0.492168,1055
0.453014,1056
0.477661,1057
0.567503,1058
0.508360,1059
0.481258,1060
0.701054,1061
0.421942,1062
0.449943,1063
0.496895,1064
0.434400,1065
0.680580,1066
0.474830,1067
0.524212,1068
0.573297,1069
0.502418,1070
0.562328,1071
0.611494,1072
0.567191,1073
0.599150,1074
0.578396,1075
0.684879,1076
0.566590,1077
0.687683,1078
0.849193,1079
0.534220,1080
0.613067,1081
0.455483,1082
0.476726,1083
0.559887,1084
0.399411,1085
0.644818,1086
0.510794,1087
0.589455,1088
0.566223,1089
0.451654,1090
0.682236,1091
0.400417,1092
0.488868,1093
0.663124,1094
0.458144,1095
0.518315,1096
0.590824,1097
0.555374,1098
0.578423,1099
0.521802,1100
0.546994,1101
0.485484,1102
0.538758,1103
0.586325,1104
0.537595,1105
0.560831,1106
0.452900,1107
0.540765,1108
0.581934,1109
0.548398,1110
0.465975,1111
0.428147,1112
0.640890,1113
0.532657,1114
0.454718,1115
0.556082,1116
0.672296,1117
0.683221,1118
0.541634,1119
0.506816,1120
0.561513,1121
0.574951,1122
0.582297,1123
0.662998,1124
0.660093,1125
0.660542,1126
0.544037,1127
0.615807,1128
0.582471,1129
0.786970,1130
0.555055,1131
0.544111,1132
0.701713,1133
0.603506,1134
0.785657,1135
0.521169,1136
0.541477,1137
0.479960,1138
0.531688,1139
0.626331,1140
0.476509,1141
0.482366,1142
0.535376,1143
0.525177,1144
0.749087,1145
0.573250,1146
0.762027,1147
0.483590,1148
0.596298,1149
0.533428,1150
0.595953,1151
0.558753,1152
0.540560,1153
0.525822,1154
0.603635,1155
0.592884,1156
0.536167,1157
0.529231,1158
0.566606,1159
0.591452,1160
0.700027,1161
0.785144,1162
0.560425,1163
0.625039,1164
0.625744,1165
0.617174,1166
0.682691,1167
0.518628,1168
0.652431,1169
0.650331,1170
0.695823,1171
0.568186,1172
0.520036,1173
0.630560,1174
0.726316,1175
0.787757,1176
0.487129,1177
0.794103,1178
0.482237,1179
0.517754,1180
0.465593,1181
0.495140,1182
0.628026,1183
0.474081,1184
0.655895,1185
0.601438,1186
0.802940,1187
0.694693,1188
0.627278,1189
0.720369,1190
0.798403,1191
0.492430,1192
0.666023,1193
0.719909,1194
0.608270,1195
0.758257,1196
0.545023,1197
0.613920,1198
0.687448,1199
0.553962,1200
0.608088,1201
0.508609,1202
0.645943,1203
0.749890,1204
0.573547,1205
0.907612,1206
0.586655,1207
0.609729,1208
0.656174,1209
0.751643,1210
0.699397,1211
0.861426,1212
0.582517,1213
0.709997,1214
0.527345,1215
0.713426,1216
0.648697,1217
0.693341,1218
0.705497,1219
0.598732,1220
0.677720,1221
0.567060,1222
0.536679,1223
0.543789,1224
0.569181,1225
0.566172,1226
0.746505,1227
0.697038,1228
0.695186,1229
0.753348,1230
0.717144,1231
0.731366,1232
0.726529,1233
0.723740,1234
0.703152,1235
0.576528,1236
0.766209,1237
0.689330,1238
0.681213,1239
0.601137,1240
0.639686,1241
0.717662,1242
0.845286,1243
0.627654,1244
0.730898,1245
0.697497,1246
0.608531,1247
0.654417,1248
0.698055,1249
0.594751,1250
0.555463,1251
0.574778,1252
0.651751,1253
0.800134,1254
0.611064,1255
0.734757,1256
0.587238,1257
0.714400,1258
0.737550,1259
0.689534,1260
0.617801,1261
0.668281,1262
0.725319,1263
0.714065,1264
0.925909,1265
0.642333,1266
0.736251,1267
0.619353,1268
1.015550,1269
0.927561,1270
0.790392,1271
0.788392,1272
0.735466,1273
0.906678,1274
0.802494,1275
1.112115,1276
0.978872,1277
1.214289,1278
0.905638,1279
0.788347,1280
0.962070,1281
1.422672,1282
1.062590,1283
1.474439,1284
0.888089,1285
0.716982,1286
0.763792,1287
0.812577,1288
0.849396,1289
0.684373,1290
0.826934,1291
0.700369,1292
0.999257,1293
0.829654,1294
0.677902,1295
0.706809,1296
0.755624,1297
0.672089,1298
0.708348,1299
0.751017,1300
0.896350,1301
0.731574,1302
0.699619,1303
0.778717,1304
0.855564,1305
0.790873,1306
0.732733,1307
0.797069,1308
0.645456,1309
0.909171,1310
0.709432,1311
0.672244,1312
0.622264,1313
0.671691,1314
0.738196,1315
0.765404,1316
0.869182,1317
0.706858,1318
0.656489,1319
0.728775,1320
0.760063,1321
1.058279,1322
0.845491,1323
0.734273,1324
0.759814,1325
0.687937,1326
0.793993,1327
0.665074,1328
0.920385,1329
0.795575,1330
0.763373,1331
0.967981,1332
0.665977,1333
1.029870,1334
0.722817,1335
0.937782,1336
0.783392,1337
0.794912,1338
0.804737,1339
0.772942,1340
1.039262,1341
0.908053,1342
0.857938,1343
0.746205,1344
1.121813,1345
0.814398,1346
0.750539,1347
0.861347,1348
0.738270,1349
1.042929,1350
0.983644,1351
0.872121,1352
0.846254,1353
0.905388,1354
0.757334,1355
0.705053,1356
0.868148,1357
0.704109,1358
0.665851,1359
0.681314,1360
0.831775,1361
1.130660,1362
0.737340,1363
0.758844,1364
0.744592,1365
0.784357,1366
1.056069,1367
0.816024,1368
0.706709,1369
0.760517,1370
0.907351,1371
0.875454,1372
0.801440,1373
0.701342,1374
0.867366,1375
0.812310,1376
0.824070,1377
0.961498,1378
1.145945,1379
0.955969,1380
0.775115,1381
0.750532,1382
0.933755,1383
0.931259,1384
0.932207,1385
0.874447,1386
0.766428,1387
1.003758,1388
0.827514,1389
0.778424,1390
0.933874,1391
0.807412,1392
0.952726,1393
0.808673,1394
0.839669,1395
0.795692,1396
0.908446,1397
0.962620,1398
0.749213,1399
0.684271,1400
0.782862,1401
0.810220,1402
0.907195,1403
0.819268,1404
0.951212,1405
0.928814,1406
0.801677,1407
0.891863,1408
0.888169,1409
1.071214,1410
0.851397,1411
0.834852,1412
0.866487,1413
0.894043,1414
0.954962,1415
1.046766,1416
0.765521,1417
0.957405,1418
0.848698,1419
0.777970,1420
0.983691,1421
0.976997,1422
0.772173,1423
0.969571,1424
0.907241,1425
0.824124,1426
1.039418,1427
1.040890,1428
0.810664,1429
1.032143,1430
1.015387,1431
0.761575,1432
0.748212,1433
1.143562,1434
0.985099,1435
0.821726,1436
0.982990,1437
0.904880,1438
0.883511,1439
0.871321,1440
1.088492,1441
0.982149,1442
1.034686,1443
0.895010,1444
0.863472,1445
0.991338,1446
0.918952,1447
1.010408,1448
0.970909,1449
0.980650,1450
0.848308,1451
0.813324,1452
0.878863,1453
0.972085,1454
0.910507,1455
1.038340,1456
0.844527,1457
0.811876,1458
1.060306,1459
0.883388,1460
1.042830,1461
0.785098,1462
1.061090,1463
0.806847,1464
0.745455,1465
1.013556,1466
0.928179,1467
0.919008,1468
0.869306,1469
1.182844,1470
0.851820,1471
1.008531,1472
1.130069,1473
0.981810,1474
0.774975,1475
1.116818,1476
0.837514,1477
0.980458,1478
1.016405,1479
1.003176,1480
0.837796,1481
1.045115,1482
0.956209,1483
1.196884,1484
0.971658,1485
1.030990,1486
1.222198,1487
1.272264,1488
1.192689,1489
0.819122,1490
0.973467,1491
1.055958,1492
1.051609,1493
0.836850,1494
1.054642,1495
1.176628,1496
0.987385,1497
0.996386,1498
0.984925,1499
1.119623,1500
1.036357,1501
0.906571,1502
0.962414,1503
1.024949,1504
1.085010,1505
0.989430,1506
1.014807,1507
0.986984,1508
0.955974,1509
1.080763,1510
0.866648,1511
1.113207,1512
1.180963,1513
1.070638,1514
1.024277,1515
1.012029,1516
1.032948,1517
0.922031,1518
1.106558,1519
1.229067,1520
1.198854,1521
0.850580,1522
0.952083,1523
0.955785,1524
1.094508,1525
1.032323,1526
1.038698,1527
0.914597,1528
1.135966,1529
0.934836,1530
1.012736,1531
1.177217,1532
0.983186,1533
1.364264,1534
1.094417,1535
